epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2435.72,0.371,0.23861,0.92831,0.99714,0.99322,0.99397,0.94303,0.27296,0.14447,0.85067,0.0002872,0.0002872,0.0002872
74,2469.35,0.37076,0.23735,0.92574,0.99708,0.99329,0.99395,0.94336,0.27266,0.1439,0.85036,0.0002773,0.0002773,0.0002773
75,2502.92,0.3687,0.23766,0.92695,0.99699,0.99327,0.99377,0.94315,0.27226,0.14426,0.85014,0.0002674,0.0002674,0.0002674
76,2536.44,0.36816,0.23709,0.92421,0.99697,0.9933,0.99392,0.94422,0.27205,0.14412,0.84991,0.0002575,0.0002575,0.0002575
77,2569.95,0.36385,0.23097,0.92412,0.99698,0.99327,0.99392,0.94396,0.27209,0.1439,0.84993,0.0002476,0.0002476,0.0002476
78,2603.53,0.36282,0.23239,0.92226,0.99698,0.99332,0.99395,0.94448,0.27187,0.14383,0.84984,0.0002377,0.0002377,0.0002377
79,2637,0.36152,0.23107,0.9235,0.99701,0.9933,0.99396,0.94424,0.27177,0.14395,0.84975,0.0002278,0.0002278,0.0002278
80,2670.35,0.35787,0.22794,0.92225,0.99699,0.99324,0.9939,0.94359,0.27164,0.14371,0.84982,0.0002179,0.0002179,0.0002179
81,2704.09,0.36062,0.23069,0.9227,0.99699,0.99324,0.9939,0.94385,0.27152,0.1437,0.84974,0.000208,0.000208,0.000208
82,2737.31,0.35576,0.22771,0.92028,0.99701,0.99319,0.9939,0.94383,0.27143,0.14364,0.84966,0.0001981,0.0001981,0.0001981
83,2770.65,0.35607,0.22568,0.92173,0.99701,0.99321,0.99388,0.94335,0.27135,0.14357,0.84957,0.0001882,0.0001882,0.0001882
84,2804.26,0.35528,0.22435,0.92023,0.99706,0.99319,0.99388,0.94348,0.27137,0.1437,0.84964,0.0001783,0.0001783,0.0001783
85,2837.55,0.35257,0.22046,0.91938,0.99711,0.99314,0.9939,0.94364,0.27125,0.14362,0.84946,0.0001684,0.0001684,0.0001684
86,2871.11,0.35053,0.22127,0.91968,0.99714,0.99311,0.99387,0.94381,0.27119,0.1431,0.84945,0.0001585,0.0001585,0.0001585
87,2904.63,0.34851,0.21895,0.91608,0.9972,0.99309,0.99389,0.94358,0.27115,0.14327,0.84949,0.0001486,0.0001486,0.0001486
88,2937.92,0.35081,0.22211,0.91923,0.9972,0.99306,0.99388,0.94369,0.27106,0.1433,0.84936,0.0001387,0.0001387,0.0001387
89,2971.35,0.3497,0.21979,0.91689,0.99718,0.99304,0.99388,0.94352,0.2709,0.14309,0.8492,0.0001288,0.0001288,0.0001288
90,3004.6,0.34904,0.21853,0.91848,0.99727,0.99303,0.99388,0.94363,0.27085,0.14282,0.84911,0.0001189,0.0001189,0.0001189
91,3038.43,0.22188,0.13536,0.83517,0.99732,0.99304,0.99388,0.94442,0.27073,0.1427,0.84911,0.000109,0.000109,0.000109
92,3071.38,0.22007,0.13272,0.83319,0.99734,0.9931,0.99385,0.94432,0.27057,0.14249,0.84897,9.91e-05,9.91e-05,9.91e-05
93,3104.09,0.21772,0.1303,0.8312,0.99734,0.99312,0.99388,0.94466,0.27044,0.14256,0.84887,8.92e-05,8.92e-05,8.92e-05
94,3136.8,0.2175,0.13081,0.83221,0.99736,0.99315,0.99387,0.94418,0.27021,0.14252,0.84869,7.93e-05,7.93e-05,7.93e-05
95,3169.9,0.2145,0.12915,0.83323,0.99736,0.99318,0.99387,0.94445,0.27007,0.14233,0.84856,6.94e-05,6.94e-05,6.94e-05
96,3202.79,0.2123,0.12756,0.83103,0.99734,0.99321,0.99386,0.94374,0.26999,0.14195,0.8484,5.95e-05,5.95e-05,5.95e-05
97,3235.64,0.20923,0.12614,0.82844,0.99729,0.99328,0.99386,0.94363,0.26986,0.14182,0.8483,4.96e-05,4.96e-05,4.96e-05
98,3268.59,0.21092,0.1265,0.83003,0.99727,0.9933,0.9939,0.94411,0.26982,0.14171,0.84821,3.97e-05,3.97e-05,3.97e-05
99,3301.78,0.20777,0.12475,0.8284,0.99725,0.99332,0.9939,0.94388,0.26954,0.14174,0.84795,2.98e-05,2.98e-05,2.98e-05
100,3334.65,0.20667,0.12398,0.82758,0.99724,0.99335,0.99391,0.94352,0.26945,0.14175,0.84792,1.99e-05,1.99e-05,1.99e-05
